telemetry_delay_s,load_sigma,best_threshold,switch_cut_pct,energy_cut_pct,delay_cost_pct,traffic_model
15.0,0.4,0.6,67.6,65.5,1.4,bursty
15.0,0.47,0.6,64.7,59.8,0.9,bursty
15.0,0.55,0.6,61.2,56.3,-2.1,bursty
15.0,0.62,0.5,70.1,66.4,-1.9,bursty
15.0,0.7,0.5,67.6,63.5,-4.4,bursty
17.0,0.05,0.7,71.2,67.4,1.0,bursty
17.0,0.12,0.7,71.7,67.3,1.1,bursty
17.0,0.19,0.8,55.1,49.4,0.9,bursty
17.0,0.26,0.8,53.9,50.6,-1.9,bursty
17.0,0.33,0.7,59.0,54.3,0.4,bursty
17.0,0.4,0.6,67.6,64.3,0.7,bursty
17.0,0.47,0.6,63.6,57.5,-0.4,bursty
17.0,0.55,0.5,70.9,65.7,0.4,bursty
17.0,0.62,0.5,69.4,65.2,-1.9,bursty
17.0,0.7,0.5,67.7,64.7,-5.7,bursty
19.0,0.05,0.7,73.1,69.7,0.9,bursty
19.0,0.12,0.7,71.4,67.5,1.5,bursty
19.0,0.19,0.6,75.0,70.2,1.9,bursty
19.0,0.26,0.6,69.6,64.9,1.7,bursty
19.0,0.33,0.6,68.7,63.2,1.2,bursty
19.0,0.4,0.5,73.9,67.0,1.5,bursty
19.0,0.47,0.5,72.7,67.1,0.3,bursty
19.0,0.55,0.5,71.0,66.9,-1.7,bursty
19.0,0.62,0.5,68.7,65.4,-2.8,bursty
19.0,0.7,0.5,69.2,68.0,-8.2,bursty
22.0,0.05,0.5,79.0,75.7,1.8,bursty
22.0,0.12,0.7,71.3,67.3,0.4,bursty
22.0,0.19,0.6,71.8,65.9,1.1,bursty
22.0,0.26,0.5,74.9,69.1,0.7,bursty
22.0,0.33,0.6,68.3,63.6,-0.8,bursty
22.0,0.4,0.5,73.5,68.4,-1.3,bursty
22.0,0.47,0.5,75.1,72.7,-4.9,bursty
22.0,0.55,0.5,73.5,70.7,-7.3,bursty
22.0,0.62,0.5,71.4,68.1,-7.9,bursty
22.0,0.7,0.5,70.3,66.9,-9.4,bursty
24.0,0.05,0.8,65.4,60.7,1.8,bursty
24.0,0.12,0.7,68.7,64.1,1.5,bursty
24.0,0.19,0.8,53.2,45.2,0.2,bursty
24.0,0.26,0.6,69.5,63.0,0.3,bursty
24.0,0.33,0.5,76.7,71.6,0.6,bursty
24.0,0.4,0.5,73.5,68.9,-1.4,bursty
24.0,0.47,0.5,76.1,74.1,-5.9,bursty
24.0,0.55,0.5,72.4,70.9,-8.6,bursty
24.0,0.62,0.5,71.8,69.4,-9.6,bursty
24.0,0.7,0.5,69.8,65.6,-10.1,bursty
26.0,0.05,0.8,64.4,59.2,1.0,bursty
26.0,0.12,0.7,68.2,62.9,1.3,bursty
26.0,0.19,0.8,52.0,42.9,-0.6,bursty
26.0,0.26,0.6,69.1,62.7,0.0,bursty
26.0,0.33,0.5,76.7,71.7,0.5,bursty
26.0,0.4,0.5,72.6,70.0,-1.7,bursty
26.0,0.47,0.5,73.2,71.8,-3.8,bursty
26.0,0.55,0.5,67.7,65.6,-3.8,bursty
26.0,0.62,0.5,68.9,66.2,-6.2,bursty
26.0,0.7,0.5,67.4,64.2,-9.6,bursty
28.0,0.05,0.7,69.6,64.1,1.6,bursty
28.0,0.12,0.7,67.2,61.9,1.2,bursty
28.0,0.19,0.8,50.0,40.1,-0.6,bursty
28.0,0.26,0.6,69.5,63.2,-1.0,bursty
28.0,0.33,0.5,76.3,71.7,0.3,bursty
28.0,0.4,0.5,71.6,68.4,-3.8,bursty
28.0,0.47,0.5,72.1,70.2,-5.4,bursty
28.0,0.55,0.5,67.6,65.0,-5.5,bursty
28.0,0.62,0.5,68.8,65.7,-7.7,bursty
28.0,0.7,0.5,67.1,64.3,-9.3,bursty
30.0,0.12,0.6,77.8,73.3,2.0,bursty
30.0,0.19,0.8,54.1,48.4,-2.3,bursty
30.0,0.26,0.6,70.7,65.1,-1.1,bursty
30.0,0.33,0.5,75.6,71.6,-1.2,bursty
30.0,0.4,0.5,72.4,69.8,-6.8,bursty
30.0,0.47,0.5,73.8,72.9,-5.9,bursty
30.0,0.55,0.5,70.8,70.1,-7.6,bursty
30.0,0.62,0.5,68.4,65.8,-7.2,bursty
